School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,CompletionRate150,Admission Rate (%),RetentionRate,SAT Average,x0_Private ForProfit,x0_Private NonProfit,x0_Public
Baker University,27.64,74316.0,1331.0,44473.0,62.05,93.41,78.69,1102.0,0.0,1.0,0.0
Brenau University,54.21,88284.0,1590.0,44094.0,40.71,92.19,52.63,1047.0,0.0,1.0,0.0
College of Mount Saint Vincent,25.17,107016.0,2235.0,51240.0,62.67,92.68,75.51,1002.0,0.0,1.0,0.0
Ramapo College of New Jersey,100.0,145080.0,5146.0,29130.0,72.21,66.84,85.42,1140.0,0.0,0.0,1.0
Trinity Baptist College,100.0,47760.0,323.0,22571.0,31.630000000000003,67.47999999999999,52.05,1006.0,0.0,1.0,0.0
Lee University,89.22,90204.0,3812.0,31522.0,62.55,83.00999999999999,80.81,1163.0,0.0,1.0,0.0
Texas Lutheran University,58.67,88620.0,1430.0,42208.0,55.34,59.3,69.21000000000001,1098.0,0.0,1.0,0.0
Oregon Institute of Technology,95.65,98532.0,3571.0,23366.0,51.38,95.13,75.79,1117.0,0.0,0.0,1.0
University of Massachusetts-Dartmouth,73.94,129288.0,5896.0,28948.0,51.95,76.18,71.03,1094.0,0.0,0.0,1.0
Florida Southern College,99.42,100884.0,2724.0,52794.0,68.35,50.370000000000005,80.91000000000001,1230.0,0.0,1.0,0.0
Texas A&M University-Texarkana,54.6,96456.0,1798.0,19447.0,38.04,96.46,64.25,1035.0,0.0,0.0,1.0
California State University-Long Beach,47.08,123252.0,34188.0,19846.0,73.33,42.120000000000005,88.89,1133.0,0.0,0.0,1.0
University of Connecticut,68.66,158196.0,18658.0,33896.0,83.03,56.09,92.99,1294.0,0.0,0.0,1.0
Philander Smith College,100.0,71652.0,796.0,26178.0,33.64,76.17714719768679,58.4,1027.3927063204262,0.0,1.0,0.0
St Catherine University,52.5,89952.0,2914.0,50794.0,63.6,76.14999999999999,81.76,1122.0,0.0,1.0,0.0
New England College,12.35,75456.0,1753.0,57285.0,20.66,96.25,61.84,1090.616643661419,0.0,1.0,0.0
Boston Architectural College,10.64,75000.0,293.0,35044.0,33.33,57.146874730740606,75.0,1024.1984566066355,0.0,1.0,0.0
Stockton University,48.42,119556.0,8825.0,30721.0,73.75,77.31,84.63000000000001,1108.0,0.0,0.0,1.0
Aquinas College,47.42,75720.0,1253.0,43921.0,64.59,70.91,71.6,1123.0,0.0,1.0,0.0
Howard University,76.52,115656.0,7784.0,45971.0,64.01,38.64,89.99000000000001,1192.0,0.0,1.0,0.0
Otis College of Art and Design,14.12,91572.0,1030.0,66695.0,73.11,80.32000000000001,62.77,1162.9698472469056,0.0,1.0,0.0
Delaware State University,63.63999999999999,100548.0,3881.0,23888.0,48.06,39.34,73.89,923.0,0.0,0.0,1.0
Warner Pacific University Professional and Graduate Studies,71.68511789130402,87831.91187839957,281.0,21072.0,25.0,65.63502280111827,73.88503838256293,1102.2884857613183,0.0,1.0,0.0
Edward Waters University,100.0,59700.0,969.0,26503.0,27.92,57.03,53.59,903.0,0.0,1.0,0.0
Virginia Polytechnic Institute and State University,98.33,139848.0,29893.0,27283.0,86.08,65.77,92.91,1280.0,0.0,0.0,1.0
University of Pittsburgh-Pittsburgh Campus,76.75999999999999,133164.0,19154.0,33964.0,83.54,63.88,93.43,1346.0,0.0,0.0,1.0
Campbell University,48.42,105864.0,3696.0,51131.0,55.57,81.28999999999999,76.03999999999999,1115.0,0.0,1.0,0.0
Northern Arizona University,67.83,107172.0,24880.0,27969.0,56.87,81.64,76.25999999999999,1156.1311030875993,0.0,0.0,1.0
Bowling Green State University-Main Campus,75.46000000000001,115776.0,13342.0,24529.0,62.13,75.3,79.36,1142.0,0.0,0.0,1.0
University of Nebraska at Omaha,50.73,100428.0,12535.0,19797.0,48.91,82.28999999999999,76.89,1115.0,0.0,0.0,1.0
Roberts Wesleyan College,95.0,77448.0,1197.0,45599.0,58.98,75.81,82.73,1146.0,0.0,1.0,0.0
Iowa State University,84.98,136392.0,26566.0,21740.0,74.72,88.42,88.63,1197.0,0.0,0.0,1.0
Central Michigan University,76.37,119460.0,12909.0,25078.0,63.580000000000005,68.67,80.04,1113.0,0.0,0.0,1.0
Wheaton College (Massachusetts),67.04,112128.0,1666.0,70453.0,77.53999999999999,77.09,87.36,1282.0,0.0,1.0,0.0
The Juilliard School,39.09,97572.0,492.0,73642.0,93.75,7.64,93.97,1248.3136816529404,0.0,1.0,0.0
Montana State University,60.46,94464.0,14132.0,22073.0,59.84,80.77,78.16,1205.0,0.0,0.0,1.0
Cleary University,8.57,65004.0,509.0,35998.0,56.36,65.25999999999999,81.52000000000001,1049.0046217009665,0.0,1.0,0.0
Mount Saint Mary's University,30.83,106788.0,2026.0,57689.0,58.96,89.33,75.0,1014.0,0.0,1.0,0.0
California State Polytechnic University-Humboldt,57.82000000000001,117864.0,5991.0,24991.0,49.49,85.14,73.13,1081.0,0.0,0.0,1.0
Lewis & Clark College,52.16,119124.0,1814.0,68735.0,73.61999999999999,79.82000000000001,78.5,1313.0,0.0,1.0,0.0
University of Maine,70.32000000000001,123072.0,8870.0,24581.0,56.46,92.21,77.99000000000001,1067.231095034543,0.0,0.0,1.0
Davenport University,23.09,82128.0,4508.0,31321.0,52.18000000000001,92.56,78.57,1066.8674853184355,0.0,1.0,0.0
Loyola University Maryland,96.62,101676.0,3813.0,67196.0,81.13,80.24,86.68,1240.9811183335576,0.0,1.0,0.0
Southwestern College,100.0,74052.0,1253.0,46869.0,38.21,56.24,53.13,1020.0,0.0,1.0,0.0
Western Illinois University,88.02,108816.0,5854.0,26287.0,46.16,66.96,76.99000000000001,1011.0,0.0,0.0,1.0
University of Michigan-Flint,55.53,112668.0,4725.0,21376.0,38.49,77.42,72.39999999999999,1086.0,0.0,0.0,1.0
Coe College,100.0,80256.0,1363.0,58857.0,61.7,79.86,81.27,1176.4785163375145,0.0,1.0,0.0
University of New Hampshire at Manchester,40.0,117336.0,694.0,25244.0,58.23,85.28,79.10000000000001,1103.0,0.0,0.0,1.0
Florida International University,97.64,130632.0,41220.0,19384.0,66.97999999999999,57.88,91.06,1190.0,0.0,0.0,1.0
