School Name,Mean Earnings (10 Yrs after Entry)
Southwestern Assemblies of God University,38700.0
Trine University-Regional/Non-Traditional Campuses,49600.0
Baptist Bible College,33300.0
Pacific Oaks College,43100.0
Manchester University,43600.0
Kentucky Christian University,36500.0
Anderson University,38400.0
Dallas Christian College,45500.0
University of North Dakota,57800.0
Northern Kentucky University,41800.0
University at Buffalo,62100.0
Central Yeshiva Tomchei Tmimim Lubavitz,37100.0
Inter American University of Puerto Rico-Bayamon,23500.0
Great Lakes Christian College,30000.0
Montclair State University,52400.0
Gustavus Adolphus College,58900.0
Providence College,73400.0
Pontifical Catholic University of Puerto Rico-Arecibo,21400.0
Union University,49600.0
Appalachian Bible College,33200.0
Bastyr University,44500.0
Nova Southeastern University,55600.0
Sam Houston State University,49700.0
Inter American University of Puerto Rico-San German,23500.0
Elizabeth City State University,32200.0
Pittsburg State University,44400.0
Whitman College,59400.0
California State University-Fresno,48500.0
Lourdes University,41300.0
University of Idaho,47000.0
Central Christian College of Kansas,34800.0
Linfield University-School of Nursing,60300.0
D'Youville College,51700.0
Loyola University Chicago,63500.0
Cumberland University,43000.0
Grace College and Theological Seminary,37500.0
Elon University,58700.0
Eastern Illinois University,46000.0
Phillips School of Nursing at Mount Sinai Beth Israel,85600.0
Emerson College,51200.0
Northern Vermont University,35600.0
Montreat College,42500.0
Samuel Merritt University,111200.0
Antioch University-Los Angeles,41800.0
Mills College,49500.0
Midway University,37400.0
Macalester College,55800.0
Colegio Universitario de San Juan,28100.0
Epic Bible College & Graduate School,32600.0
Colorado State University-Fort Collins,53400.0
Art Center College of Design,62300.0
University of Bridgeport,47100.0
City University of Seattle,53400.0
University of Miami,72900.0
University of Notre Dame,98400.0
Pillar College,
Pace University,66800.0
North Carolina A & T State University,39300.0
South University-West Palm Beach,40200.0
Stillman College,33700.0
