School Name,State,School Ownership,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,150% Completion Rate at 4 Yr (%),Admission Rate (%),RetentionRate_4yr,Female_Majority,SAT Average (Overall),SAT 75th Percentile Math,SAT 75th Percentile Reading,SAT 75th Percentile Writing,Percent of Students Earning >$25K (6 Yrs after Entry),Percent of Students Earning >$25K (10 Yrs after Entry),LowIncRatio_10yr,HighIncRatio_10yr,LowIncRatio_6yr,HighIncRatio_6yr,Mean Earnings (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry)
John Brown University,AR,Private NonProfit,98.2,83244.0,1437.0,40774.0,64.47,58.86,86.16,True,1227.0,630.0,680.0,650.0,72.89999999999999,8070.0,0.1475295755045233,0.1336116910229645,0.1524008350730689,0.1356993736951983,45300.0,55400.0
Ouachita Baptist University,AR,Private NonProfit,94.96,78120.0,1520.0,40200.0,60.48,61.77,81.41000000000001,True,1203.0,600.0,630.0,,58.8,7239.999999999999,0.0769736842105263,0.0953947368421052,0.0802631578947368,0.0986842105263157,34600.0,46000.0
University of the Ozarks,AR,Private NonProfit,81.36,80160.0,831.0,34832.0,47.370000000000005,55.900000000000006,69.38,False,1070.0,620.0,610.0,520.0,50.9,7810.000000000001,0.0842358604091456,0.0553549939831528,0.1167268351383874,0.0661853188929001,28700.0,38600.0
Philander Smith College,AR,Private NonProfit,100.0,71652.0,796.0,26178.0,33.64,,58.4,True,,,,,40.8,4680.0,0.1520100502512562,,0.2600502512562814,0.0276381909547738,23600.0,27300.0
Williams Baptist University,AR,Private NonProfit,100.0,65124.0,580.0,30063.0,37.8,69.3,52.53,True,1088.0,640.0,690.0,,54.8,6760.000000000001,0.1603448275862068,0.0655172413793103,0.193103448275862,0.0689655172413793,29300.0,36400.0
Southern Arkansas University Main Campus,AR,Public,68.07,82668.0,3121.0,23044.0,42.61,68.53,71.50999999999999,True,1120.0,,,,56.99999999999999,6850.0,0.1525152194809356,0.0390900352451137,0.1922460749759692,0.0477411086190323,30400.0,39000.0
University of Arkansas-Fort Smith,AR,Public,69.46,84780.0,4615.0,17288.0,31.08,,73.50999999999999,True,,,,,55.60000000000001,6280.0,0.2478873239436619,0.0450704225352112,0.3378114842903575,0.0524377031419284,30700.0,35000.0
Academy of Art University,CA,Private ForProfit,25.16,87936.0,6024.0,43976.0,46.88,,70.39,True,,,,,52.0,6660.000000000001,0.2400398406374502,0.1273240371845949,0.325531208499336,0.1069057104913678,32800.0,47300.0
Art Center College of Design,CA,Private NonProfit,26.61,96108.0,1907.0,66046.0,71.43,76.09,77.99000000000001,True,,,,,65.2,6930.0,0.1520713162034609,0.063974829575249,0.1368641845831148,0.0545359202936549,48800.0,62300.0
Azusa Pacific University,CA,Private NonProfit,42.77,109584.0,4498.0,56802.0,66.22,93.6,76.16000000000001,True,,,,,69.5,7900.0,0.0993775011116051,0.1707425522454424,0.1489550911516229,0.1949755446865273,48300.0,55900.0
Biola University,CA,Private NonProfit,100.0,88728.0,3683.0,58012.0,71.39999999999999,64.38000000000001,78.16,True,1196.0,640.0,650.0,610.0,64.3,7340.000000000001,0.085256584306272,0.1468911213684496,0.0841705131686125,0.1420038012489818,38700.0,50700.0
California Institute of Integral Studies,CA,Private NonProfit,27.36,103260.0,98.0,,,,,True,,,,,,,,,,,38300.0,
California Baptist University,CA,Private NonProfit,42.09,121464.0,8093.0,48731.0,61.95,80.17999999999999,76.46,True,1064.0,570.0,580.0,530.0,63.2,7039.999999999999,0.0470777214877054,0.0630174224638576,0.0873594464351909,0.0762387248239219,40000.0,47500.0
California College of the Arts,CA,Private NonProfit,20.57,118872.0,1225.0,68956.0,67.03,85.45,70.56,True,,,,,56.00000000000001,6340.0,0.1493877551020408,0.0963265306122449,0.1371428571428571,0.0971428571428571,36200.0,48000.0
California Institute of Technology,CA,Private NonProfit,93.78,242736.0,901.0,74763.0,91.56,6.69,93.62,False,1566.0,800.0,780.0,800.0,80.5,8470.0,0.0377358490566037,0.025527192008879,,0.0188679245283018,68500.0,106300.0
California Lutheran University,CA,Private NonProfit,100.0,124572.0,2800.0,60668.0,70.86,74.39,78.83,True,1159.0,620.0,620.0,600.0,68.10000000000001,8189.999999999999,0.0514285714285714,0.1196428571428571,0.0910714285714285,0.1335714285714285,43700.0,60200.0
California Polytechnic State University-San Luis Obispo,CA,Public,69.69999999999999,127764.0,21451.0,28927.0,83.09,38.43,94.24,False,1325.0,720.0,690.0,,79.10000000000001,8490.0,0.0520255465945643,0.0791571488508694,0.0440072723882336,0.0726306465899025,54700.0,74300.0
California State University-Bakersfield,CA,Public,52.26,113868.0,9955.0,18661.0,46.29,78.38000000000001,82.59,True,,,,,65.8,7590.000000000001,0.1329984932194877,0.0267202410848819,0.135811150175791,0.0293319939728779,39100.0,50100.0
