School Name,State,School Ownership,Full-time Faculty Rate (%),Faculty Average Monthly Salary,Student Enrollment Size,RetentionRate_4yr,Attendance Cost,150% Completion Rate at 4 Yr (%),Admission Rate (%),SAT Average (Overall),SAT 75th Percentile Math,SAT 75th Percentile Reading,SAT 75th Percentile Writing,Mean Earnings (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry),Female_Majority,MeanEarningsGenderDiff10
Marymount California University,CA,Private NonProfit,69.23,8648.0,515.0,64.91,51791.0,31.730000000000004,,,,,,34300.0,42000.0,True,6200.0
Menlo College,CA,Private NonProfit,17.169999999999998,9393.0,825.0,71.13000000000001,62162.0,53.55,64.51,,,,525.0,42500.0,59700.0,False,8100.0
Mills College,CA,Private NonProfit,48.19,10110.0,603.0,62.3,48360.0,65.24,91.14,1180.0,613.0,663.0,650.0,40200.0,49500.0,True,
Middlebury Institute of International Studies at Monterey,CA,Private NonProfit,81.91000000000001,9762.0,13.0,,,,,,,,,47900.0,71900.0,True,33800.0
Mount Saint Mary's University,CA,Private NonProfit,30.83,8899.0,2026.0,75.0,57689.0,58.96,89.33,1014.0,540.0,570.0,500.0,57700.0,63500.0,True,27300.0
National University,CA,Private NonProfit,8.43,10290.0,7864.0,45.45,26208.0,46.67,89.36,,,,,51900.0,59000.0,True,11600.0
Newschool of Architecture and Design,CA,Private ForProfit,16.49,7373.0,359.0,81.25,50284.0,40.0,96.25,,,,,39200.0,55100.0,False,
San Francisco Bay University,CA,Private NonProfit,66.67,4943.0,6.0,,,33.33,46.150000000000006,,,,,,,False,
Notre Dame de Namur University,CA,Private NonProfit,34.44,9440.0,211.0,,,48.57,,,,,510.0,49000.0,63900.0,True,100.0
Occidental College,CA,Private NonProfit,74.25,11229.0,1835.0,81.85,76600.0,83.64,40.9,1378.0,730.0,730.0,690.0,40700.0,59400.0,True,9100.0
Otis College of Art and Design,CA,Private NonProfit,14.12,7631.0,1030.0,62.77,66695.0,73.11,80.32000000000001,,,,,35100.0,52400.0,True,9700.0
Hope International University,CA,Private NonProfit,16.02,5335.0,657.0,85.32,46231.0,48.81,38.29,1029.0,540.0,560.0,510.0,36600.0,40700.0,True,8200.0
Palo Alto University,CA,Private NonProfit,55.21,11785.0,76.0,,,,,,,,,,,True,
Pacific Oaks College,CA,Private NonProfit,9.84,6248.0,496.0,,,,26.67,,,,,39500.0,43100.0,True,
Pacific States University,CA,Private NonProfit,,3542.0,2.0,,,0.0,,,,,,,,False,
Pacific Union College,CA,Private NonProfit,93.51,6355.0,940.0,70.27,44714.0,51.24,59.17,1030.0,560.0,580.0,540.0,48600.0,61700.0,True,4300.0
University of the Pacific,CA,Private NonProfit,52.53,10872.0,3493.0,86.88,64784.0,70.1,70.75,1221.0,680.0,660.0,630.0,61000.0,84200.0,True,13700.0
Pepperdine University,CA,Private NonProfit,49.61,12824.0,3457.0,84.67,75312.0,88.55,41.85,1314.0,720.0,690.0,650.0,54100.0,77600.0,True,12600.0
Pitzer College,CA,Private NonProfit,89.38000000000001,11889.0,922.0,81.45,75850.0,83.21,16.57,,,,,37300.0,51500.0,True,3100.0
Point Loma Nazarene University,CA,Private NonProfit,100.0,10357.0,3209.0,84.45,53045.0,72.06,83.55,1210.0,640.0,650.0,610.0,43600.0,54400.0,True,15300.0
Pomona College,CA,Private NonProfit,94.15,13714.0,1462.0,85.82,74438.0,93.99,8.62,,,,770.0,51200.0,77300.0,True,32000.0
University of Redlands,CA,Private NonProfit,97.03,10240.0,2810.0,75.1,68156.0,71.22,68.65,1135.0,620.0,630.0,,48700.0,57700.0,True,11800.0
Samuel Merritt University,CA,Private NonProfit,51.870000000000005,11076.0,692.0,,,,,,,,,97200.0,111200.0,True,32800.0
San Diego State University,CA,Public,51.790000000000006,11169.0,31293.0,88.88000000000001,23367.0,75.96000000000001,36.7,1207.0,660.0,640.0,,41600.0,55900.0,True,11300.0
University of San Diego,CA,Private NonProfit,50.53,12578.0,5454.0,84.22,70440.0,80.47999999999999,58.7,,,,650.0,54800.0,71100.0,True,17500.0
San Francisco Art Institute,CA,Private NonProfit,78.95,7883.0,22.0,0.0,70023.0,39.24,94.67,,,,,28400.0,38600.0,True,-4200.0
San Francisco Conservatory of Music,CA,Private NonProfit,100.0,14342.0,243.0,79.25,69135.0,69.23,45.62,,,,,,30800.0,False,
San Francisco State University,CA,Public,50.45,11037.0,23411.0,82.28999999999999,24513.0,55.21,84.09,1030.0,560.0,570.0,,42100.0,54700.0,True,7400.0
