School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,Completion Rate,Admission Rate (%),Retention Rate,SAT Average,Ivy League Plus,x0_Private ForProfit,x0_Private NonProfit,x0_Public
Western Colorado University,77.78,79524.0,1682.0,24194.0,50.45,88.5,67.25999999999999,1110.0,0.0,0.0,0.0,1.0
Miami International University of Art & Design-Art Institute Dallas,11.43,72948.0,461.0,31913.0,15.46,73.82271504605697,50.0,1092.845702177704,0.0,1.0,0.0,0.0
Ottawa University-Milwaukee,6.545706990602771,70188.0,104.0,21644.63604035301,27.523765454895155,80.79797535739927,41.16127567579419,1059.4658062895296,0.0,0.0,1.0,0.0
Ohio State University-Main Campus,65.88000000000001,152676.0,45862.0,27202.0,87.03,68.49,93.81,1337.0,0.0,0.0,0.0,1.0
Oral Roberts University,41.36,91284.0,3080.0,44006.0,55.66,78.39,78.4,1133.0,0.0,0.0,1.0,0.0
The University of Montana,66.23,99384.0,6897.0,19958.0,44.21,95.78,74.32,1162.0,0.0,0.0,0.0,1.0
Roger Williams University,39.290000000000006,151452.0,4224.0,54865.0,68.67,86.00999999999999,81.01,1184.9705832578818,0.0,0.0,1.0,0.0
Vanguard University of Southern California,95.4,96876.0,1995.0,48086.0,62.62,49.99,74.64,1050.0,0.0,0.0,1.0,0.0
La Salle University,46.89,109512.0,3205.0,45298.0,65.25999999999999,76.35,77.59,1117.4987350221886,0.0,0.0,1.0,0.0
Boise State University,58.8,99852.0,16973.0,21621.0,54.52,77.49000000000001,77.82,1135.0,0.0,0.0,0.0,1.0
Southwestern College,100.0,74052.0,1253.0,46869.0,38.21,56.24,53.13,1020.0,0.0,0.0,1.0,0.0
Cleveland State University,48.64,114840.0,10917.0,24010.0,48.27,93.6,76.42999999999999,1088.0,0.0,0.0,0.0,1.0
Saint Louis University,61.47,123648.0,7304.0,61975.0,79.27,55.54,89.98,1299.0,0.0,0.0,1.0,0.0
Goshen College,56.48,70428.0,800.0,44994.0,62.89,92.38,76.25,1084.0,0.0,0.0,1.0,0.0
University of Louisiana at Lafayette,79.36999999999999,98568.0,12972.0,22948.0,51.17,67.28,79.43,1148.0,0.0,0.0,0.0,1.0
Boston University,72.55,175368.0,16359.0,74911.0,89.03,20.09,92.32,1419.0,0.0,0.0,1.0,0.0
The North Coast College,79.4431584864424,37752.0,47.0,28267.0,58.81999999999999,41.18,100.0,983.2107851742339,0.0,1.0,0.0,0.0
Florida International University,97.64,130632.0,41220.0,19384.0,66.97999999999999,57.88,91.06,1190.0,0.0,0.0,0.0,1.0
The University of Tennessee-Chattanooga,68.72,104400.0,10256.0,23436.0,50.02,83.11,76.71,1167.0,0.0,0.0,0.0,1.0
School of Visual Arts,18.95,49128.0,3192.0,65272.0,71.53,71.53,77.45,1205.0,0.0,1.0,0.0,0.0
Medaille College,28.93,67740.0,1394.0,36840.0,37.31,71.8,54.620000000000005,1083.469124097973,0.0,0.0,1.0,0.0
Multnomah University,26.44,63336.0,333.0,42743.0,50.0,58.9,63.93,1096.1245184344816,0.0,0.0,1.0,0.0
University of Phoenix-Hawaii,51.803941392441565,63619.89510387405,107.0,18992.0,19.23,49.05685237791673,0.0,1043.7854996208532,0.0,1.0,0.0,0.0
Western Governors University,76.84,66636.0,104919.0,13790.0,46.92,74.73330122214385,75.0,1160.2842413058606,0.0,0.0,1.0,0.0
Bethany Lutheran College,54.55,86616.0,632.0,38528.0,61.7,64.51,87.08,1049.5986536568716,0.0,0.0,1.0,0.0
Whittier College,73.08,102888.0,1488.0,61052.0,63.4,72.33000000000001,72.82,1199.509743899174,0.0,0.0,1.0,0.0
LaGrange College,100.0,80688.0,741.0,46034.0,44.440000000000005,59.67,57.99999999999999,1077.0,0.0,0.0,1.0,0.0
Benedictine University,37.82,103632.0,2285.0,46006.0,46.03,60.99,66.86,1097.0,0.0,0.0,1.0,0.0
North Carolina State University at Raleigh,87.48,133152.0,24671.0,24202.0,83.89999999999999,46.22,93.57,1343.0,0.0,0.0,0.0,1.0
Misericordia University,100.0,91632.0,1837.0,48844.0,73.97,83.28999999999999,83.66,1135.4284984704645,0.0,0.0,1.0,0.0
Northland College,74.29,100032.0,553.0,50029.0,56.00000000000001,64.3,66.46,1138.0,0.0,0.0,1.0,0.0
Allen College,49.43,90576.0,374.0,29968.276692187294,21.370854661356674,70.56125675702037,58.93012901345849,1120.94851925545,0.0,0.0,1.0,0.0
SUNY Polytechnic Institute,54.88,114636.0,2097.0,23194.0,53.6,73.3,82.43,1177.0,0.0,0.0,0.0,1.0
New England College,12.35,75456.0,1753.0,57285.0,20.66,96.25,61.84,1070.4667166655188,0.0,0.0,1.0,0.0
Central Christian College of Kansas,25.0,45096.0,561.0,30742.0,22.99,87.18438980945196,64.29,1049.7794540247564,0.0,0.0,1.0,0.0
College of Coastal Georgia,82.39,83976.0,2976.0,18200.0,23.26,95.94,63.78,1006.0,0.0,0.0,0.0,1.0
University of Puget Sound,83.09,125520.0,1896.0,68072.0,77.07000000000001,86.85000000000001,76.25999999999999,1288.6302540110921,0.0,0.0,1.0,0.0
