School Name,State,School Ownership,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,Completion Rate,Admission Rate (%),Retention Rate,Female_Majority,SAT Average,Mean Earnings (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry),Ivy League Plus
Regis University,CO,Private NonProfit,40.62,88080.0,3071.0,51593.0,67.08,78.2,72.97,True,1143.0,54100.0,62700.0,0
Rocky Mountain College of Art and Design,CO,Private ForProfit,23.46,55788.0,1625.0,24570.0,38.89,,57.49999999999999,True,,30500.0,36700.0,0
Colorado State University Pueblo,CO,Public,52.25,85860.0,3275.0,21950.0,36.94,94.31,68.26,True,1022.0,39100.0,41600.0,0
Western Colorado University,CO,Public,77.78,79524.0,1682.0,24194.0,50.45,88.5,67.25999999999999,False,1110.0,32500.0,43400.0,0
Albertus Magnus College,CT,Private NonProfit,40.99,89712.0,1076.0,49375.0,49.04,81.26,71.95,True,,45200.0,56000.0,0
University of Bridgeport,CT,Private NonProfit,30.82,95220.0,2338.0,53853.0,39.59,70.95,67.66,True,1026.0,35600.0,47100.0,0
Central Connecticut State University,CT,Public,48.51,118320.0,8402.0,22518.0,52.07000000000001,64.85,78.23,False,1062.0,40800.0,51600.0,0
Charter Oak State College,CT,Public,0.0,,1471.0,16369.0,,,50.0,True,,48200.0,43700.0,0
Connecticut College,CT,Private NonProfit,73.7,117312.0,1711.0,74590.0,81.93,37.72,86.67,True,1400.0,44400.0,62900.0,0
University of Connecticut,CT,Public,68.66,158196.0,18658.0,33896.0,83.03,56.09,92.99,True,1294.0,49800.0,66000.0,0
Eastern Connecticut State University,CT,Public,100.0,112020.0,4104.0,27425.0,55.92,69.69999999999999,76.02,True,,36800.0,49000.0,0
Fairfield University,CT,Private NonProfit,100.0,137964.0,4319.0,67080.0,82.37,56.13,91.65,True,1281.0,56500.0,80100.0,0
University of Hartford,CT,Private NonProfit,43.22,91968.0,4378.0,57475.0,54.61,77.41,81.39999999999999,True,1129.0,40300.0,51700.0,0
Mitchell College,CT,Private NonProfit,100.0,86244.0,571.0,48699.0,59.440000000000005,74.22,70.16,False,,28200.0,34000.0,0
University of New Haven,CT,Private NonProfit,36.53,122700.0,5078.0,58438.0,64.66,91.1,78.52,True,1147.0,40500.0,54600.0,0
Paier College,CT,Private ForProfit,,59640.0,122.0,22945.0,61.53999999999999,94.49,87.5,True,,29600.0,33900.0,0
Post University,CT,Private ForProfit,5.53,72732.0,12630.0,30161.0,25.14,,60.47,True,,40000.0,46500.0,0
Quinnipiac University,CT,Private NonProfit,42.46,135072.0,6787.0,66237.0,76.2,82.39,88.82,True,,53800.0,67700.0,0
Sacred Heart University,CT,Private NonProfit,36.24,110988.0,6356.0,61591.0,72.56,65.53,86.7,True,,47400.0,61800.0,0
University of Saint Joseph,CT,Private NonProfit,96.38,103032.0,884.0,50959.0,56.38,78.02,82.67,True,1073.0,43100.0,52900.0,0
Southern Connecticut State University,CT,Public,47.620000000000005,115956.0,7239.0,25413.0,51.06,79.67999999999999,76.88000000000001,True,,38800.0,48100.0,0
Trinity College,CT,Private NonProfit,84.53,127632.0,2194.0,76850.0,82.16,36.04,90.0,True,,52000.0,74300.0,0
Wesleyan University,CT,Private NonProfit,89.33,148956.0,2838.0,75693.0,90.93,20.9,87.42,True,,46400.0,63400.0,0
Western Connecticut State University,CT,Public,100.0,117156.0,4500.0,23110.0,51.16,80.72,75.46000000000001,True,,37800.0,50400.0,0
Yale University,CT,Private NonProfit,72.33000000000001,233880.0,4701.0,76645.0,96.39,6.529999999999999,65.42,False,1520.0,67800.0,124400.0,1
Delaware State University,DE,Public,63.63999999999999,100548.0,3881.0,23888.0,48.06,39.34,73.89,True,923.0,30100.0,38400.0,0
