School Name,Mean Earnings (10 Yrs after Entry)
Columbia College Chicago,39200.0
Caldwell University,48700.0
Woodbury University,52100.0
The Christ College of Nursing and Health Sciences,56100.0
University of Hawaii at Manoa,51800.0
Samuel Merritt University,111200.0
Centre College,53800.0
Roosevelt University,47700.0
Wittenberg University,49000.0
New York School of Interior Design,53300.0
Northern State University,37300.0
Alaska Pacific University,45300.0
University of Saint Francis-Fort Wayne,43600.0
Texas A & M University-Corpus Christi,48600.0
DeVry University-California,50300.0
Mount Carmel College of Nursing,58100.0
West Coast University-Ontario,67700.0
Trine University-Regional/Non-Traditional Campuses,49600.0
Truman State University,50500.0
University of Illinois Urbana-Champaign,70900.0
Southern University at New Orleans,32100.0
Morningside University,47900.0
Oregon Institute of Technology,57800.0
SUNY College at Plattsburgh,46200.0
Southern Arkansas University Main Campus,39000.0
Johnson University,31700.0
Capital University,48400.0
Ohio Northern University,72600.0
University of Dallas,51400.0
Barry University,50900.0
Stockton University,50700.0
Faith Baptist Bible College and Theological Seminary,38700.0
Strayer University-Georgia,53500.0
Rhode Island School of Design,56400.0
University of North Texas,49300.0
Vassar College,61500.0
DeVry University-Illinois,50300.0
The Art Institute of Austin,39100.0
University of Pennsylvania,131600.0
Winthrop University,39800.0
Inter American University of Puerto Rico-Fajardo,23500.0
Full Sail University,46000.0
The University of the Arts,39100.0
Dominican College of Blauvelt,52500.0
Universidad Politecnica de Puerto Rico,36300.0
Mississippi University for Women,38900.0
Paier College,33900.0
Mount Saint Joseph University,44600.0
Marymount Manhattan College,45500.0
Medical University of South Carolina,111500.0
University of Alabama at Birmingham,48400.0
Butler University,68900.0
Colegio Universitario de San Juan,28100.0
Cumberland University,43000.0
Concordia College at Moorhead,49000.0
Pittsburg State University,44400.0
St. Thomas University,60500.0
Calumet College of Saint Joseph,47800.0
Messenger College,23900.0
Middlebury Institute of International Studies at Monterey,71900.0
Rose-Hulman Institute of Technology,88500.0
Lee University,37800.0
Evangel University,40900.0
University of Southern Indiana,40200.0
Albizu University-San Juan,34000.0
University of San Francisco,74000.0
Cardinal Stritch University,55400.0
James Madison University,63300.0
University of Alaska Fairbanks,45100.0
Whitman College,59400.0
American University of Puerto Rico,24200.0
Duquesne University,68200.0
Chamberlain University-Texas,60400.0
Lewis & Clark College,55000.0
Arizona State University Digital Immersion,55500.0
Illinois Institute of Technology,78000.0
Dillard University,37900.0
Capella University,72600.0
Elon University,58700.0
Central State University,28600.0
LeTourneau University,56800.0
California State University-San Bernardino,48800.0
Strayer University-Delaware,53500.0
Longwood University,45300.0
University of the Potomac-VA Campus,54600.0
Pennsylvania College of Art and Design,30600.0
Southeastern Louisiana University,42800.0
Sterling College,40500.0
Bradley University,58300.0
Rogers State University,39300.0
Muskingum University,43500.0
Fairleigh Dickinson University-Florham Campus,54400.0
University of Maryland-College Park,70800.0
Fort Valley State University,34700.0
Keene State College,45800.0
Lamar University,46000.0
Earlham College,39200.0
University of Connecticut-Stamford,66000.0
Virginia Polytechnic Institute and State University,67100.0
State University of New York at New Paltz,48700.0
AI Miami International University of Art and Design,34800.0
University of West Alabama,40400.0
Bennett College,32700.0
Rensselaer Polytechnic Institute,86000.0
Saint Mary's College of California,63600.0
Campbell University,58000.0
Bridgewater College,46600.0
University of California-Berkeley,79000.0
Grand Valley State University,47200.0
University of New England,51000.0
Saint Xavier University,50600.0
Austin Peay State University,38800.0
Clark Atlanta University,38200.0
University of Colorado Boulder,59700.0
Chamberlain University-Florida,60400.0
University of the District of Columbia,39400.0
Tusculum University,42500.0
Lyon College,44800.0
Nebraska Wesleyan University,52500.0
Clark University,54700.0
Wabash College,64000.0
The University of Texas at El Paso,43300.0
Arcadia University,48000.0
University of Missouri-St Louis,49200.0
University of Idaho,47000.0
Harvey Mudd College,104200.0
Berkeley College-New York,44600.0
Indiana University-Southeast,41800.0
Trevecca Nazarene University,49000.0
Vaughn College of Aeronautics and Technology,59000.0
William Jessup University,45100.0
Point University,34700.0
Marist College,62600.0
Pontifical Catholic University of Puerto Rico-Arecibo,21400.0
Lakeview College of Nursing,67600.0
SUNY at Purchase College,41300.0
Fayetteville State University,34600.0
Huntington University,39000.0
Drew University,58500.0
University of Kansas,59300.0
Bacone College,37000.0
Southern Illinois University-Carbondale,49500.0
South Carolina State University,32500.0
Lake Forest College,55600.0
Tennessee Technological University,46700.0
University of St Thomas,59600.0
Metropolitan College of New York,40100.0
Spelman College,50700.0
Averett University,49000.0
Eastern Michigan University,43900.0
Inter American University of Puerto Rico-San German,23500.0
Aquinas College,42400.0
Fontbonne University,46300.0
Averett University-Non-Traditional Programs,49000.0
Otterbein University,46900.0
DeVry University-New Jersey,50300.0
Inter American University of Puerto Rico-Barranquitas,23500.0
Thomas College,43400.0
Sweet Briar College,43500.0
University of Connecticut-Avery Point,66000.0
Tulane University of Louisiana,86300.0
Olivet Nazarene University,44000.0
Bluefield University,46000.0
University of Saint Joseph,52900.0
DeVry University-Georgia,50300.0
Bryn Mawr College,61000.0
Rochester University,39000.0
Strayer University-Florida,53500.0
The College of Saint Scholastica,56000.0
Chamberlain University-Missouri,60400.0
University of Pittsburgh-Bradford,61200.0
Randall University,38700.0
Maine Maritime Academy,107200.0
Converse University,34800.0
University of Pittsburgh-Greensburg,61200.0
Concordia University-Irvine,50800.0
University of Massachusetts-Boston,53700.0
Wheaton College (Massachusetts),55500.0
Nebraska Methodist College of Nursing & Allied Health,50600.0
Caribbean University-Vega Baja,21400.0
Logan University,55400.0
Cornish College of the Arts,33600.0
Bryan College of Health Sciences,53500.0
West Texas A & M University,46700.0
Linfield University-McMinnville Campus,60300.0
Alverno College,40900.0
Central Baptist College,43000.0
Universidad Ana G. Mendez-Cupey Campus,22700.0
American International College,50000.0
West Virginia State University,33800.0
York College,39000.0
SUNY College at Geneseo,53400.0
Los Angeles Pacific University,55900.0
Linfield University-Online and Continuing Education,60300.0
University of California-Los Angeles,73200.0
Siena College,62300.0
Paine College,29700.0
Dakota State University,43100.0
Alma College,46500.0
South Dakota State University,50200.0
University of Nevada-Reno,56300.0
Santa Clara University,85300.0
The Art Institute of San Antonio,39100.0
Kenyon College,54500.0
Florida Institute of Technology-Online,61200.0
Bentley University,95400.0
University of South Alabama,46800.0
Oakwood University,37400.0
Crowley's Ridge College,29600.0
University of Guam,33300.0
Fordham University,67000.0
University of Alabama in Huntsville,52000.0
Oregon State University,56700.0
William Carey University,40500.0
Berea College,36300.0
Mitchell College,34000.0
Welch College,31000.0
Wartburg College,50600.0
