School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,Completion Rate,Admission Rate (%),Retention Rate,SAT Average,Ivy League Plus,x0_Private ForProfit,x0_Private NonProfit,x0_Public
Spalding University,65.13,88584.0,842.0,38163.0,57.89,93.43,65.64999999999999,1026.0,0.0,0.0,1.0,0.0
High Point University,99.68,94200.0,4608.0,54296.0,68.88,77.05,82.43,1182.0,0.0,0.0,1.0,0.0
Dillard University,67.83,79428.0,1214.0,33421.0,49.54,65.31,69.97,1044.0,0.0,0.0,1.0,0.0
Lewis-Clark State College,97.27,78276.0,2613.0,16922.0,35.85,99.75,61.19,998.0,0.0,0.0,0.0,1.0
Logan University,39.86,81576.0,281.0,20535.0,20.499303812818155,84.61999999999999,70.0,1039.2551051791118,0.0,0.0,1.0,0.0
Trine University,50.970000000000006,90996.0,2254.0,47142.0,60.92,78.94,84.47,1130.0,0.0,0.0,1.0,0.0
Colorado School of Mines,71.64,148368.0,5173.0,36107.0,84.17,54.97,91.87,1372.0,0.0,0.0,0.0,1.0
Minneapolis College of Art and Design,23.57,91572.0,656.0,53010.0,63.33,54.67999999999999,67.97999999999999,1120.0176325797313,0.0,0.0,1.0,0.0
Salem College,58.9,71292.0,456.0,44461.0,66.0,84.63000000000001,48.15,1061.0,0.0,0.0,1.0,0.0
Bluefield State College,63.21,76560.0,1231.0,18685.0,31.78,90.03,59.760000000000005,992.0,0.0,0.0,0.0,1.0
Uta Mesivta of Kiryas Joel,100.0,35892.0,2268.0,20447.0,78.67,70.31320187157539,96.65,1003.3108894875281,0.0,0.0,1.0,0.0
University of Oklahoma-Norman Campus,83.93,124728.0,21087.0,29577.0,72.09,83.38,87.14,1233.0,0.0,0.0,0.0,1.0
Heritage University,20.96,90480.0,794.0,25478.0,41.32,74.79734581162306,84.44,1151.2502471661069,0.0,0.0,1.0,0.0
Messiah University,57.02,100932.0,2473.0,49864.0,78.71000000000001,77.52,86.47,1205.0,0.0,0.0,1.0,0.0
University of North Carolina at Chapel Hill,77.45,153540.0,19261.0,24220.0,90.74,25.0,95.13,1393.0,0.0,0.0,0.0,1.0
Manhattan Christian College,59.09,62832.0,164.0,30594.0,37.68,48.95,51.43,1085.0,0.0,0.0,1.0,0.0
Miami University-Middletown,100.0,94800.0,1308.0,15072.0,15.06,74.64970939953707,65.89,1099.5291680902264,0.0,0.0,0.0,1.0
University of Evansville,97.79,94056.0,1763.0,50986.0,66.67,64.3,87.42,1138.1695861543672,0.0,0.0,1.0,0.0
Johnson & Wales University-Charlotte,100.0,112860.0,1391.0,50200.0,56.56,82.27,65.45,1193.6222791362006,0.0,0.0,1.0,0.0
California State University-Chico,55.50000000000001,116184.0,15689.0,25073.0,65.14999999999999,90.17,83.5,1073.0,0.0,0.0,0.0,1.0
Mercy College of Ohio,30.04,83916.0,1493.0,22784.0,48.57,39.51,70.59,1030.0,0.0,0.0,1.0,0.0
Western Carolina University,72.11,94308.0,10387.0,18462.0,63.63,48.48,81.42,1129.0,0.0,0.0,0.0,1.0
Paine College,76.74,36096.0,179.0,26534.0,7.84,74.99,17.71,899.0,0.0,0.0,1.0,0.0
