School Name,Mean Earnings (6 Yrs after Entry)
Cabrini University,36700.0
Rabbinical College of Ohr Shimon Yisroel,15800.0
Harvey Mudd College,87200.0
Biola University,38700.0
Upstate Medical University,65700.0
Fort Hays State University,36800.0
College of the Atlantic,20500.0
Universidad Central de Bayamon,18900.0
University of Washington-Seattle Campus,50300.0
Tennessee Wesleyan University,34300.0
Central Methodist University-College of Graduate and Extended Studies,35000.0
University of Nebraska at Kearney,36300.0
Walla Walla University,42400.0
Kansas Wesleyan University,36000.0
Dalton State College,28000.0
University of Maine at Augusta,26000.0
Dordt University,37900.0
University of North Carolina School of the Arts,28100.0
Randolph College,33700.0
La Sierra University,43600.0
Bowdoin College,57100.0
Kentucky Wesleyan College,30100.0
University of Wisconsin-Eau Claire,40200.0
Santa Clara University,63900.0
Rutgers University-Newark,48200.0
The University of Tampa,42300.0
University of Maine at Presque Isle,27600.0
University of Minnesota-Morris,34900.0
University of South Carolina-Upstate,36400.0
Keuka College,42300.0
Dakota Wesleyan University,35600.0
Piedmont University,40200.0
Ringling College of Art and Design,36000.0
Skidmore College,41900.0
Southern Arkansas University Main Campus,30400.0
Washington & Jefferson College,45400.0
Trinity College,52000.0
University of Mary Hardin-Baylor,38600.0
Wingate University,36000.0
Bridgewater State University,37500.0
Ouachita Baptist University,34600.0
Concordia University Texas,41200.0
Idaho State University,34900.0
University of North Texas,39300.0
Azusa Pacific University,48300.0
University of the Cumberlands,28500.0
Saint Mary's University of Minnesota,42600.0
Metropolitan College of New York,33900.0
Cooper Union for the Advancement of Science and Art,49800.0
Oak Point University,64000.0
University of Wisconsin-River Falls,36700.0
Southern Illinois University-Edwardsville,39600.0
Fordham University,53600.0
Olivet College,31000.0
University of California-Irvine,44300.0
Park University,42200.0
Louisiana State University-Shreveport,36000.0
Chamberlain University-Virginia,69800.0
Eagle Gate College-Layton,25600.0
The University of Texas Health Science Center at Houston,71100.0
William Penn University,36900.0
