School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,Completion Rate,Admission Rate (%),Retention Rate,SAT Average,Ivy League Plus,x0_Private ForProfit,x0_Private NonProfit,x0_Public
Northern Arizona University,67.83,107172.0,24880.0,27969.0,56.87,81.64,76.25999999999999,1133.967645012494,0.0,0.0,0.0,1.0
Hardin-Simmons University,57.84,87984.0,1588.0,42530.0,55.46,90.51,64.92999999999999,1069.0,0.0,0.0,1.0,0.0
Eastern New Mexico University-Main Campus,72.91,85308.0,3129.0,17897.0,36.15,50.6,61.09,1051.0,0.0,0.0,0.0,1.0
University of Saint Mary,52.55,76044.0,762.0,42175.0,56.07,59.56,66.44,1020.0,0.0,0.0,1.0,0.0
Galen College of Nursing-Louisville,46.57,73344.0,2848.0,30375.308307623185,51.790000000000006,75.13554873530163,14.81,1070.1726924476698,0.0,1.0,0.0,0.0
University of Akron Main Campus,45.15,123312.0,12095.0,24604.0,48.19,73.04,75.09,1118.0,0.0,0.0,0.0,1.0
Sacred Heart University,36.24,110988.0,6356.0,61591.0,72.56,65.53,86.7,1208.8341265689814,0.0,0.0,1.0,0.0
Le Moyne College,53.96,105192.0,2674.0,49194.0,78.29,74.74,82.92,1165.0,0.0,0.0,1.0,0.0
Arkansas State University,100.0,86880.0,7739.0,23009.0,53.010000000000005,67.19000000000001,79.05,1149.0,0.0,0.0,0.0,1.0
Alderson Broaddus University,67.95,70968.0,756.0,42676.0,31.790000000000003,52.76,47.6,972.0,0.0,0.0,1.0,0.0
Chamberlain University-Arizona,12.35,87732.0,725.0,33769.0,50.0,62.5,80.0,1097.0609212127565,0.0,1.0,0.0,0.0
Trinity College,84.53,127632.0,2194.0,76850.0,82.16,36.04,90.0,1336.7285861844719,0.0,0.0,1.0,0.0
Oak Hills Christian College,80.0,48120.0,98.0,30607.0,32.14,62.7,57.14,1009.0,0.0,0.0,1.0,0.0
Stevens-The Institute of Business & Arts,78.89049859420048,58752.0,108.0,22069.0,66.67,72.022939206485,0.0,983.171948507532,0.0,1.0,0.0,0.0
Corban University,38.93,80304.0,918.0,45919.0,50.45,48.34,78.57,1077.0,0.0,0.0,1.0,0.0
College of the Atlantic,100.0,101436.0,364.0,54899.0,65.82000000000001,75.8,88.57000000000001,1170.5550049068877,0.0,0.0,1.0,0.0
University of Charleston,50.86000000000001,80448.0,2075.0,43829.0,46.39,61.48,66.94,1079.0,0.0,0.0,1.0,0.0
Seattle Pacific University,50.0,102432.0,2694.0,60834.0,65.49000000000001,90.62,76.66,1109.0,0.0,0.0,1.0,0.0
